Result of replaying d971d73a-c10d-4dce-b52f-f7cdf231ef70 on Anonymous log imported from log6-training.xes

Index,Case IDs,NumOfCases,IsReliable,"Traversed Arcs","Raw Fitness Cost","Calculation Time (ms)","Max Move-Log Cost","Num. States","Move-Model Fitness","Trace Fitness","Max Fitness Cost","Move-Log Fitness","Trace Length","Queued States",Match
1,"20|23|25|36|38|44|49|50|57|58|65|71|72|73|90|103|105|115|121|127|130|142|147|167|174|189|192|207|215|219|220|221|231|240|244|245|250|276|288|312|313|314|315|316|321|342|343|346|350|354|355|358|360|366|373|380|389|397|398|408|411|414|418|422|430|467|477|484|492|501|502|507|547|551|556|562|564|565|569|573|577|579|587|588|602|608|612|625|627|632|635|648|667|678|682|683|695",97,Yes,"33.00","0.00","0.00","8.00","9.00","1.00","1.00","11.00","1.00","8.00","32.00",[L/M]a|[L/M]e|[L/M]c|[L/M]m|[L/M]y|[L/M]n|[L/M]i|[L/M]ak
2,"0|12|13|22|27|29|34|37|42|64|94|98|99|102|104|108|110|120|132|138|139|140|146|150|157|158|161|178|186|198|210|217|223|225|229|239|254|258|262|297|298|319|327|334|344|352|367|395|434|453|462|469|475|481|493|503|508|524|532|541|542|543|557|566|585|595|600|613|617|629|631|639|640|654|657|662|664|668|670|672|675|677|684|686|687|688|690|698|699",89,Yes,"33.00","0.00","0.00","8.00","9.00","1.00","1.00","11.00","1.00","8.00","32.00",[L/M]a|[L/M]e|[L/M]c|[L/M]m|[L/M]y|[L/M]n|[L/M]ac|[L/M]ai
3,"17|18|24|28|54|59|61|63|69|77|88|107|112|122|125|149|162|169|177|181|183|199|241|242|263|268|273|275|280|282|296|301|304|308|310|328|351|356|369|375|381|382|384|388|391|393|396|412|416|426|436|441|442|471|485|488|494|495|510|514|516|521|522|527|529|535|538|539|570|593|601|607|616|620|622|628|637|642|652|694",80,Yes,"22.00","0.00","0.00","4.00","6.00","1.00","1.00","7.00","1.00","4.00","21.00",[L/M]a|[L/M]e|[L/M]c|[L/M]b|[M-INVI]tau from tree
4,"4|7|9|32|51|55|66|80|81|87|109|141|151|153|156|176|185|194|200|205|208|211|234|246|251|253|279|281|287|300|307|311|322|333|339|341|347|363|368|377|390|402|407|421|428|438|450|456|464|468|478|482|483|491|497|504|512|519|525|548|550|555|567|571|582|596|598|605|614|615|633|646|651|659|660|666|674|691|693",79,Yes,"22.00","0.00","1.00","4.00","6.00","1.00","1.00","7.00","1.00","4.00","21.00",[L/M]a|[L/M]e|[L/M]c|[L/M]ah|[M-INVI]tau from tree
5,"106|145|213|271|283|335|348|349|378|431|439|459|520|546|574|599|619|623|634|647",20,Yes,"20.00","0.00","0.00","3.00","6.00","1.00","1.00","6.00","1.00","3.00","19.00",[L/M]a|[L/M]e|[L/M]c|[M-INVI]tau from tree|[M-INVI]tau from tree
6,"75|197|222|224|267|270|306|320|359|370|376|379|429|437|461|486|661",17,Yes,"46.00","1.00","0.00","7.00","19.00","0.88","0.90","10.00","1.00","7.00","43.00",[L/M]a|[L/M]e|[L/M]c|[L/M]m|[L/M]y|[L/M]n|[L/M]i|[M-REAL]ak
7,"79|111|124|129|235|237|259|353|423|424|448|472|563|583|590",15,Yes,"20.00","2.00","0.00","1.00","9.00","0.33","0.50","4.00","1.00","1.00","17.00",[L/M]a|[M-REAL]e|[M-REAL]c|[M-INVI]tau from tree|[M-INVI]tau from tree
8,"15|41|118|188|257|318|329|365|413|474|499|553|655",13,Yes,"28.00","0.00","0.00","6.00","8.00","1.00","1.00","9.00","1.00","6.00","27.00",[L/M]a|[L/M]e|[L/M]c|[L/M]m|[L/M]y|[L/M]n|[M-INVI]tau from tree
9,"14|39|43|119|123|164|168|184|291|324|597",11,Yes,"30.00","0.00","0.00","7.00","8.00","1.00","1.00","10.00","1.00","7.00","29.00",[L/M]a|[L/M]e|[L/M]c|[L/M]d|[L/M]q|[L/M]i|[L/M]ak
10,"95|128|249|285|417|420|505|591|653|680",10,Yes,"46.00","1.00","0.00","7.00","19.00","0.88","0.90","10.00","1.00","7.00","43.00",[L/M]a|[L/M]e|[L/M]c|[L/M]m|[L/M]y|[L/M]n|[L/M]ac|[M-REAL]ai
11,"46|135|154|195|435|440|452|592|610|611",10,Yes,"23.00","1.00","0.00","2.00","10.00","0.67","0.80","5.00","1.00","2.00","20.00",[L/M]a|[L/M]e|[M-REAL]c|[M-INVI]tau from tree|[M-INVI]tau from tree
12,"196|216|238|293|309",5,Yes,"30.00","0.00","0.00","7.00","8.00","1.00","1.00","10.00","1.00","7.00","29.00",[L/M]a|[L/M]e|[L/M]c|[L/M]d|[L/M]q|[L/M]ac|[L/M]ai
13,"331|500|572|603",4,Yes,"371.00","2.00","1.00","16.00","158.00","0.94","0.89","19.00","0.94","16.00","255.00",[L/M]a|[L/M]e|[L/M]c|[M-INVI]tau from tree|[L/M]o|[M-INVI]tau split|[L/M]u|[L/M]k|[L/M]ae|[M-INVI]tau join|[L/M]aj|[L/M]z|[M-INVI]tau split|[L/M]g|[L]ab|[L/M]j|[M-INVI]tau join|[M-INVI]tau split|[L/M]aa|[L/M]p|[L/M]t|[L/M]an|[M-REAL]ab|[M-INVI]tau join
14,"357|372|392|449",4,Yes,"85.00","0.00","0.00","16.00","25.00","1.00","1.00","19.00","1.00","16.00","82.00",[L/M]a|[L/M]e|[L/M]c|[M-INVI]tau from tree|[L/M]f|[M-INVI]tau split|[L/M]ae|[L/M]u|[L/M]k|[M-INVI]tau join|[L/M]aj|[L/M]z|[M-INVI]tau split|[L/M]j|[L/M]g|[M-INVI]tau join|[M-INVI]tau split|[L/M]ab|[L/M]aa|[L/M]p|[L/M]t|[L/M]an|[M-INVI]tau join
15,"26|47|425|558",4,Yes,"332.00","2.00","0.00","14.00","146.00","0.93","0.88","17.00","0.93","14.00","227.00",[L/M]a|[L/M]e|[L/M]c|[M-INVI]tau from tree|[L/M]f|[M-INVI]tau split|[L/M]ae|[L/M]u|[L/M]k|[M-INVI]tau join|[L/M]aj|[L/M]z|[M-INVI]tau split|[L/M]g|[L]ab|[L/M]w|[M-INVI]tau join|[M-INVI]tau split|[L/M]v|[L/M]ad|[M-REAL]ab|[M-INVI]tau join
16,"114|337|552|604",4,Yes,"55.00","1.00","0.00","5.00","22.00","0.83","0.88","8.00","1.00","5.00","44.00",[L/M]a|[L/M]e|[L/M]c|[L/M]m|[L/M]y|[M-REAL]n|[M-INVI]tau from tree
17,"96|227|264|515",4,Yes,"43.00","1.00","1.00","4.00","19.00","1.00","0.86","7.00","0.75","4.00","35.00",[L/M]a|[L/M]e|[L/M]c|[M-INVI]tau from tree|[M-INVI]tau from tree|[L]m
18,"155|172|540",3,Yes,"76.00","0.00","0.00","14.00","23.00","1.00","1.00","17.00","1.00","14.00","73.00",[L/M]a|[L/M]e|[L/M]c|[M-INVI]tau from tree|[L/M]o|[M-INVI]tau split|[L/M]ae|[L/M]u|[L/M]k|[M-INVI]tau join|[L/M]aj|[L/M]z|[M-INVI]tau split|[L/M]g|[L/M]w|[M-INVI]tau join|[M-INVI]tau split|[L/M]v|[L/M]ab|[L/M]ad|[M-INVI]tau join
19,"134|399|458",3,Yes,"274.00","2.00","0.00","13.00","120.00","0.92","0.88","16.00","0.92","13.00","192.00",[L/M]a|[L/M]e|[L/M]c|[M-INVI]tau from tree|[L/M]h|[L/M]ag|[L/M]aq|[L/M]af|[L/M]s|[M-INVI]tau split|[L/M]g|[L]ab|[L/M]w|[M-INVI]tau join|[M-INVI]tau split|[L/M]v|[L/M]ad|[M-REAL]ab|[M-INVI]tau join
20,"218|228|326",3,Yes,"66.00","0.00","0.00","13.00","20.00","1.00","1.00","16.00","1.00","13.00","64.00",[L/M]a|[L/M]e|[L/M]c|[M-INVI]tau from tree|[L/M]h|[L/M]ag|[L/M]aq|[L/M]af|[L/M]s|[M-INVI]tau split|[L/M]w|[L/M]g|[M-INVI]tau join|[M-INVI]tau split|[L/M]v|[L/M]ad|[L/M]ab|[M-INVI]tau join
21,"317|445|533",3,Yes,"71.00","0.00","0.00","13.00","20.00","1.00","1.00","16.00","1.00","13.00","67.00",[L/M]a|[L/M]e|[L/M]c|[M-INVI]tau from tree|[L/M]h|[L/M]ag|[L/M]aq|[L/M]af|[L/M]s|[M-INVI]tau split|[L/M]g|[L/M]j|[M-INVI]tau join|[M-INVI]tau split|[L/M]ab|[L/M]aa|[L/M]l|[M-INVI]tau join
22,"340|560|644",3,Yes,"65.00","0.00","0.00","12.00","19.00","1.00","1.00","15.00","1.00","12.00","62.00",[L/M]a|[L/M]e|[L/M]c|[M-INVI]tau from tree|[L/M]h|[L/M]ap|[L/M]af|[L/M]s|[M-INVI]tau split|[L/M]g|[L/M]w|[M-INVI]tau join|[M-INVI]tau split|[L/M]ab|[L/M]v|[L/M]ad|[M-INVI]tau join
23,"74|214",2,Yes,"87.00","0.00","0.00","16.00","26.00","1.00","1.00","19.00","1.00","16.00","83.00",[L/M]a|[L/M]e|[L/M]c|[M-INVI]tau from tree|[L/M]h|[L/M]ag|[L/M]aq|[L/M]af|[L/M]s|[M-INVI]tau split|[L/M]j|[L/M]g|[M-INVI]tau join|[M-INVI]tau split|[L/M]ab|[L/M]aa|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]ao|[L/M]am|[M-INVI]tau join|[L/M]t|[L/M]an|[M-INVI]tau join
24,"45|116",2,Yes,"87.00","0.00","0.00","16.00","25.00","1.00","1.00","19.00","1.00","16.00","83.00",[L/M]a|[L/M]e|[L/M]c|[M-INVI]tau from tree|[L/M]o|[M-INVI]tau split|[L/M]ae|[L/M]u|[L/M]k|[M-INVI]tau join|[L/M]aj|[L/M]z|[M-INVI]tau split|[L/M]j|[L/M]g|[M-INVI]tau join|[M-INVI]tau split|[L/M]aa|[L/M]ab|[L/M]p|[L/M]t|[L/M]an|[M-INVI]tau join
25,"133|536",2,Yes,"517.00","4.00","1.00","14.00","253.00","0.86","0.76","17.00","0.86","14.00","329.00",[L/M]a|[L/M]e|[L/M]c|[M-INVI]tau from tree|[L/M]f|[M-INVI]tau split|[L/M]ae|[L/M]k|[L]aj|[L/M]u|[M-INVI]tau join|[M-REAL]aj|[L/M]z|[M-INVI]tau split|[L/M]g|[L]ab|[L/M]w|[M-INVI]tau join|[M-INVI]tau split|[L/M]v|[L/M]ad|[M-REAL]ab|[M-INVI]tau join
26,"179|255",2,Yes,"86.00","0.00","0.00","16.00","25.00","1.00","1.00","19.00","1.00","16.00","82.00",[L/M]a|[L/M]e|[L/M]c|[M-INVI]tau from tree|[L/M]o|[M-INVI]tau split|[L/M]ae|[L/M]u|[L/M]k|[M-INVI]tau join|[L/M]aj|[L/M]z|[M-INVI]tau split|[L/M]g|[L/M]j|[M-INVI]tau join|[M-INVI]tau split|[L/M]ab|[L/M]aa|[L/M]p|[L/M]t|[L/M]an|[M-INVI]tau join
27,"232|663",2,Yes,"87.00","0.00","1.00","16.00","25.00","1.00","1.00","19.00","1.00","16.00","83.00",[L/M]a|[L/M]e|[L/M]c|[M-INVI]tau from tree|[L/M]f|[M-INVI]tau split|[L/M]k|[L/M]ae|[L/M]u|[M-INVI]tau join|[L/M]aj|[L/M]z|[M-INVI]tau split|[L/M]j|[L/M]g|[M-INVI]tau join|[M-INVI]tau split|[L/M]aa|[L/M]ab|[L/M]p|[L/M]t|[L/M]an|[M-INVI]tau join
28,"586|624",2,Yes,"87.00","0.00","0.00","16.00","25.00","1.00","1.00","19.00","1.00","16.00","83.00",[L/M]a|[L/M]e|[L/M]c|[M-INVI]tau from tree|[L/M]f|[M-INVI]tau split|[L/M]ae|[L/M]k|[L/M]u|[M-INVI]tau join|[L/M]aj|[L/M]z|[M-INVI]tau split|[L/M]j|[L/M]g|[M-INVI]tau join|[M-INVI]tau split|[L/M]aa|[L/M]ab|[L/M]p|[L/M]t|[L/M]an|[M-INVI]tau join
29,"67|272",2,Yes,"349.00","2.00","0.00","14.00","151.00","0.93","0.88","17.00","0.93","14.00","239.00",[L/M]a|[L/M]e|[L/M]c|[M-INVI]tau from tree|[L/M]o|[M-INVI]tau split|[L/M]k|[L/M]u|[L/M]ae|[M-INVI]tau join|[L/M]aj|[L/M]z|[M-INVI]tau split|[L/M]g|[L]ab|[L/M]j|[M-INVI]tau join|[M-INVI]tau split|[L/M]aa|[L/M]l|[M-REAL]ab|[M-INVI]tau join
30,"170|523",2,Yes,"337.00","2.00","1.00","14.00","146.00","0.93","0.88","17.00","0.93","14.00","231.00",[L/M]a|[L/M]e|[L/M]c|[M-INVI]tau from tree|[L/M]o|[M-INVI]tau split|[L/M]ae|[L/M]u|[L/M]k|[M-INVI]tau join|[L/M]aj|[L/M]z|[M-INVI]tau split|[L/M]w|[L]v|[L/M]g|[M-INVI]tau join|[M-INVI]tau split|[L/M]ab|[M-REAL]v|[L/M]ad|[M-INVI]tau join
31,"248|427",2,Yes,"337.00","2.00","1.00","14.00","146.00","0.93","0.88","17.00","0.93","14.00","231.00",[L/M]a|[L/M]e|[L/M]c|[M-INVI]tau from tree|[L/M]f|[M-INVI]tau split|[L/M]ae|[L/M]u|[L/M]k|[M-INVI]tau join|[L/M]aj|[L/M]z|[M-INVI]tau split|[L/M]w|[L]v|[L/M]g|[M-INVI]tau join|[M-INVI]tau split|[L/M]ab|[M-REAL]v|[L/M]ad|[M-INVI]tau join
32,"364|630",2,Yes,"253.00","2.00","1.00","14.00","107.00","0.93","0.88","17.00","0.93","14.00","185.00",[L/M]a|[L/M]e|[L/M]c|[M-INVI]tau from tree|[L/M]o|[M-INVI]tau split|[L/M]k|[L/M]ae|[L]aj|[L/M]u|[M-INVI]tau join|[M-REAL]aj|[L/M]z|[M-INVI]tau split|[L/M]w|[L/M]g|[M-INVI]tau join|[M-INVI]tau split|[L/M]ab|[L/M]v|[L/M]ad|[M-INVI]tau join
33,"394|626",2,Yes,"349.00","2.00","1.00","14.00","151.00","0.93","0.88","17.00","0.93","14.00","239.00",[L/M]a|[L/M]e|[L/M]c|[M-INVI]tau from tree|[L/M]f|[M-INVI]tau split|[L/M]u|[L/M]ae|[L/M]k|[M-INVI]tau join|[L/M]aj|[L/M]z|[M-INVI]tau split|[L/M]g|[L]ab|[L/M]j|[M-INVI]tau join|[M-INVI]tau split|[L/M]aa|[L/M]l|[M-REAL]ab|[M-INVI]tau join
34,"5|332",2,Yes,"79.00","0.00","0.00","14.00","23.00","1.00","1.00","17.00","1.00","14.00","76.00",[L/M]a|[L/M]e|[L/M]c|[M-INVI]tau from tree|[L/M]o|[M-INVI]tau split|[L/M]u|[L/M]ae|[L/M]k|[M-INVI]tau join|[L/M]aj|[L/M]z|[M-INVI]tau split|[L/M]j|[L/M]g|[M-INVI]tau join|[M-INVI]tau split|[L/M]ab|[L/M]aa|[L/M]l|[M-INVI]tau join
35,"8|166",2,Yes,"77.00","0.00","0.00","14.00","23.00","1.00","1.00","17.00","1.00","14.00","74.00",[L/M]a|[L/M]e|[L/M]c|[M-INVI]tau from tree|[L/M]o|[M-INVI]tau split|[L/M]u|[L/M]ae|[L/M]k|[M-INVI]tau join|[L/M]aj|[L/M]z|[M-INVI]tau split|[L/M]g|[L/M]w|[M-INVI]tau join|[M-INVI]tau split|[L/M]ab|[L/M]v|[L/M]ad|[M-INVI]tau join
36,"85|236",2,Yes,"77.00","0.00","0.00","14.00","23.00","1.00","1.00","17.00","1.00","14.00","74.00",[L/M]a|[L/M]e|[L/M]c|[M-INVI]tau from tree|[L/M]f|[M-INVI]tau split|[L/M]ae|[L/M]k|[L/M]u|[M-INVI]tau join|[L/M]aj|[L/M]z|[M-INVI]tau split|[L/M]g|[L/M]w|[M-INVI]tau join|[M-INVI]tau split|[L/M]ab|[L/M]v|[L/M]ad|[M-INVI]tau join
37,"202|403",2,Yes,"79.00","0.00","0.00","14.00","23.00","1.00","1.00","17.00","1.00","14.00","76.00",[L/M]a|[L/M]e|[L/M]c|[M-INVI]tau from tree|[L/M]o|[M-INVI]tau split|[L/M]k|[L/M]u|[L/M]ae|[M-INVI]tau join|[L/M]aj|[L/M]z|[M-INVI]tau split|[L/M]j|[L/M]g|[M-INVI]tau join|[M-INVI]tau split|[L/M]ab|[L/M]aa|[L/M]l|[M-INVI]tau join
38,"405|479",2,Yes,"75.00","0.00","0.00","14.00","23.00","1.00","1.00","17.00","1.00","14.00","73.00",[L/M]a|[L/M]e|[L/M]c|[M-INVI]tau from tree|[L/M]f|[M-INVI]tau split|[L/M]ae|[L/M]u|[L/M]k|[M-INVI]tau join|[L/M]aj|[L/M]z|[M-INVI]tau split|[L/M]w|[L/M]g|[M-INVI]tau join|[M-INVI]tau split|[L/M]v|[L/M]ab|[L/M]ad|[M-INVI]tau join
39,"676|679",2,Yes,"79.00","0.00","0.00","14.00","23.00","1.00","1.00","17.00","1.00","14.00","76.00",[L/M]a|[L/M]e|[L/M]c|[M-INVI]tau from tree|[L/M]o|[M-INVI]tau split|[L/M]ae|[L/M]u|[L/M]k|[M-INVI]tau join|[L/M]aj|[L/M]z|[M-INVI]tau split|[L/M]j|[L/M]g|[M-INVI]tau join|[M-INVI]tau split|[L/M]ab|[L/M]aa|[L/M]l|[M-INVI]tau join
40,"60|669",2,Yes,"291.00","2.00","0.00","13.00","125.00","0.92","0.88","16.00","0.92","13.00","204.00",[L/M]a|[L/M]e|[L/M]c|[M-INVI]tau from tree|[L/M]h|[L/M]ag|[L/M]aq|[L/M]af|[L/M]s|[M-INVI]tau split|[L/M]g|[L]ab|[L/M]j|[M-INVI]tau join|[M-INVI]tau split|[L/M]aa|[L/M]l|[M-REAL]ab|[M-INVI]tau join
41,"137|457",2,Yes,"439.00","3.00","1.00","12.00","199.00","0.85","0.80","15.00","0.92","12.00","280.00",[L/M]a|[L/M]e|[L/M]c|[M-INVI]tau from tree|[L/M]h|[L/M]ag|[L/M]aq|[L/M]af|[L/M]s|[M-INVI]tau split|[L/M]g|[L]ab|[L/M]w|[M-INVI]tau join|[M-INVI]tau split|[L/M]v|[M-REAL]ad|[M-REAL]ab|[M-INVI]tau join
42,"401|451",2,Yes,"67.00","0.00","0.00","13.00","20.00","1.00","1.00","16.00","1.00","13.00","64.00",[L/M]a|[L/M]e|[L/M]c|[M-INVI]tau from tree|[L/M]h|[L/M]ag|[L/M]aq|[L/M]af|[L/M]s|[M-INVI]tau split|[L/M]g|[L/M]w|[M-INVI]tau join|[M-INVI]tau split|[L/M]v|[L/M]ab|[L/M]ad|[M-INVI]tau join
43,"465|658",2,Yes,"25.00","0.00","0.00","5.00","7.00","1.00","1.00","8.00","1.00","5.00","24.00",[L/M]a|[L/M]e|[L/M]c|[L/M]d|[L/M]q|[M-INVI]tau from tree
44,"336",1,Yes,"829.00","6.00","1.00","16.00","406.00","0.78","0.68","19.00","0.88","16.00","521.00",[L/M]a|[L/M]e|[L/M]c|[M-INVI]tau from tree|[L/M]f|[M-INVI]tau split|[L/M]k|[L]aj|[L/M]ae|[M-REAL]u|[M-INVI]tau join|[M-REAL]aj|[L/M]z|[M-INVI]tau split|[L]u|[L/M]g|[L/M]w|[M-INVI]tau join|[M-INVI]tau split|[L/M]ab|[M-REAL]aa|[L/M]x|[M-INVI]tau split|[L/M]al|[M-REAL]am|[M-INVI]tau join|[L/M]t|[L/M]an|[M-INVI]tau join
45,"517",1,Yes,"795.00","5.00","1.00","16.00","372.00","0.82","0.74","19.00","0.88","16.00","491.00",[L/M]a|[L/M]e|[L/M]c|[M-INVI]tau from tree|[L/M]o|[M-INVI]tau split|[L/M]k|[L]aj|[L/M]u|[L/M]ae|[M-INVI]tau join|[M-REAL]aj|[L/M]z|[M-INVI]tau split|[L/M]w|[L]x|[L/M]g|[M-INVI]tau join|[M-INVI]tau split|[M-REAL]aa|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]ao|[L/M]ab|[M-REAL]am|[M-INVI]tau join|[L/M]t|[L/M]an|[M-INVI]tau join
46,"290",1,Yes,"566.00","3.00","1.00","16.00","249.00","0.88","0.84","19.00","0.94","16.00","371.00",[L/M]a|[L/M]e|[L/M]c|[M-INVI]tau from tree|[L/M]f|[M-INVI]tau split|[L/M]u|[L/M]ae|[L/M]k|[M-INVI]tau join|[L/M]aj|[L/M]z|[M-INVI]tau split|[L/M]w|[M-REAL]g|[M-INVI]tau join|[M-INVI]tau split|[M-REAL]aa|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]al|[L/M]am|[M-INVI]tau join|[L]g|[L/M]t|[L/M]ab|[L/M]an|[M-INVI]tau join
47,"410",1,Yes,"567.00","3.00","1.00","16.00","249.00","0.88","0.84","19.00","0.94","16.00","371.00",[L/M]a|[L/M]e|[L/M]c|[M-INVI]tau from tree|[L/M]o|[M-INVI]tau split|[L/M]k|[L/M]u|[L/M]ae|[M-INVI]tau join|[L/M]aj|[L/M]z|[M-INVI]tau split|[L/M]w|[M-REAL]g|[M-INVI]tau join|[M-INVI]tau split|[M-REAL]aa|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]am|[L/M]ao|[M-INVI]tau join|[L]g|[L/M]t|[L/M]ab|[L/M]an|[M-INVI]tau join
48,"148",1,Yes,"226.00","1.00","0.00","16.00","84.00","0.94","0.95","19.00","1.00","16.00","175.00",[L/M]a|[L/M]e|[L/M]c|[M-INVI]tau from tree|[L/M]f|[M-INVI]tau split|[L/M]u|[L/M]ae|[L/M]k|[M-INVI]tau join|[L/M]aj|[L/M]z|[M-INVI]tau split|[L/M]w|[L/M]g|[M-INVI]tau join|[M-INVI]tau split|[M-REAL]aa|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]am|[L/M]al|[L/M]ab|[M-INVI]tau join|[L/M]t|[L/M]an|[M-INVI]tau join
49,"173",1,Yes,"690.00","6.00","1.00","16.00","355.00","0.81","0.68","19.00","0.81","16.00","444.00",[L/M]a|[L/M]e|[L/M]c|[M-INVI]tau from tree|[L/M]o|[M-INVI]tau split|[L/M]k|[L]aj|[L/M]ae|[M-REAL]u|[M-INVI]tau join|[M-REAL]aj|[L/M]z|[M-INVI]tau split|[L]u|[L/M]g|[L]ab|[L/M]j|[M-INVI]tau join|[M-INVI]tau split|[L/M]aa|[L/M]p|[L/M]t|[L/M]an|[M-REAL]ab|[M-INVI]tau join
50,"78",1,Yes,"527.00","4.00","2.00","16.00","253.00","0.88","0.79","19.00","0.88","16.00","342.00",[L/M]a|[L/M]e|[L/M]c|[M-INVI]tau from tree|[L/M]f|[M-INVI]tau split|[L/M]ae|[L/M]k|[L]aj|[L/M]u|[M-INVI]tau join|[M-REAL]aj|[L/M]z|[M-INVI]tau split|[L/M]j|[L]aa|[L/M]g|[M-INVI]tau join|[M-INVI]tau split|[M-REAL]aa|[L/M]p|[L/M]t|[L/M]ab|[L/M]an|[M-INVI]tau join
51,"294",1,Yes,"411.00","2.00","1.00","16.00","161.00","0.94","0.89","19.00","0.94","16.00","277.00",[L/M]a|[L/M]e|[L/M]c|[M-INVI]tau from tree|[L/M]h|[L/M]ag|[L/M]aq|[L/M]af|[L/M]s|[M-INVI]tau split|[L/M]g|[L]ab|[L/M]j|[M-INVI]tau join|[M-INVI]tau split|[L/M]aa|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]am|[L/M]ao|[M-INVI]tau join|[L/M]t|[L/M]an|[M-REAL]ab|[M-INVI]tau join
52,"385",1,Yes,"346.00","2.00","1.00","16.00","138.00","0.94","0.89","19.00","0.94","16.00","240.00",[L/M]a|[L/M]e|[L/M]c|[M-INVI]tau from tree|[L/M]h|[L/M]ag|[L/M]aq|[L/M]af|[L/M]s|[M-INVI]tau split|[L/M]j|[M-REAL]g|[M-INVI]tau join|[M-INVI]tau split|[L/M]aa|[M-INVI]tau from tree|[M-INVI]tau split|[L]g|[L/M]am|[L/M]ao|[M-INVI]tau join|[L/M]t|[L/M]an|[L/M]ab|[M-INVI]tau join
53,"409",1,Yes,"540.00","4.00","1.00","16.00","257.00","0.88","0.79","19.00","0.88","16.00","348.00",[L/M]a|[L/M]e|[L/M]c|[M-INVI]tau from tree|[L/M]f|[M-INVI]tau split|[L/M]k|[L/M]ae|[L]aj|[L/M]u|[M-INVI]tau join|[M-REAL]aj|[L/M]z|[M-INVI]tau split|[L/M]j|[L]aa|[L/M]g|[M-INVI]tau join|[M-INVI]tau split|[L/M]ab|[M-REAL]aa|[L/M]p|[L/M]t|[L/M]an|[M-INVI]tau join
54,"470",1,Yes,"349.00","2.00","1.00","16.00","139.00","0.94","0.89","19.00","0.94","16.00","242.00",[L/M]a|[L/M]e|[L/M]c|[M-INVI]tau from tree|[L/M]h|[L/M]ag|[L/M]aq|[L/M]af|[L/M]s|[M-INVI]tau split|[L/M]j|[M-REAL]g|[M-INVI]tau join|[M-INVI]tau split|[L/M]aa|[M-INVI]tau from tree|[M-INVI]tau split|[L]g|[L/M]am|[L/M]ab|[L/M]ao|[M-INVI]tau join|[L/M]t|[L/M]an|[M-INVI]tau join
55,"673",1,Yes,"527.00","4.00","1.00","16.00","253.00","0.88","0.79","19.00","0.88","16.00","342.00",[L/M]a|[L/M]e|[L/M]c|[M-INVI]tau from tree|[L/M]f|[M-INVI]tau split|[L/M]u|[L/M]k|[L]aj|[L/M]ae|[M-INVI]tau join|[M-REAL]aj|[L/M]z|[M-INVI]tau split|[L/M]j|[L]aa|[L/M]g|[M-INVI]tau join|[M-INVI]tau split|[M-REAL]aa|[L/M]p|[L/M]t|[L/M]ab|[L/M]an|[M-INVI]tau join
56,"68",1,Yes,"89.00","0.00","0.00","16.00","26.00","1.00","1.00","19.00","1.00","16.00","83.00",[L/M]a|[L/M]e|[L/M]c|[M-INVI]tau from tree|[L/M]h|[L/M]ag|[L/M]aq|[L/M]af|[L/M]s|[M-INVI]tau split|[L/M]g|[L/M]j|[M-INVI]tau join|[M-INVI]tau split|[L/M]ab|[L/M]aa|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]am|[L/M]ao|[M-INVI]tau join|[L/M]t|[L/M]an|[M-INVI]tau join
57,"93",1,Yes,"263.00","2.00","0.00","16.00","109.00","0.94","0.89","19.00","0.94","16.00","194.00",[L/M]a|[L/M]e|[L/M]c|[M-INVI]tau from tree|[L/M]f|[M-INVI]tau split|[L/M]k|[L/M]ae|[L]aj|[L/M]u|[M-INVI]tau join|[M-REAL]aj|[L/M]z|[M-INVI]tau split|[L/M]j|[L/M]g|[M-INVI]tau join|[M-INVI]tau split|[L/M]aa|[L/M]p|[L/M]t|[L/M]ab|[L/M]an|[M-INVI]tau join
58,"97",1,Yes,"346.00","2.00","0.00","16.00","147.00","0.94","0.89","19.00","0.94","16.00","244.00",[L/M]a|[L/M]e|[L/M]c|[M-INVI]tau from tree|[L/M]o|[M-INVI]tau split|[L/M]u|[L/M]ae|[L/M]k|[M-INVI]tau join|[L/M]aj|[L/M]z|[M-INVI]tau split|[L/M]j|[L]aa|[L/M]g|[M-INVI]tau join|[M-INVI]tau split|[M-REAL]aa|[L/M]p|[L/M]ab|[L/M]t|[L/M]an|[M-INVI]tau join
59,"100",1,Yes,"90.00","0.00","0.00","16.00","26.00","1.00","1.00","19.00","1.00","16.00","85.00",[L/M]a|[L/M]e|[L/M]c|[M-INVI]tau from tree|[L/M]h|[L/M]ag|[L/M]aq|[L/M]af|[L/M]s|[M-INVI]tau split|[L/M]g|[L/M]j|[M-INVI]tau join|[M-INVI]tau split|[L/M]aa|[M-INVI]tau from tree|[M-INVI]tau split|[L/M]ao|[L/M]ab|[L/M]am|[M-INVI]tau join|[L/M]t|[L/M]an|[M-INVI]tau join
